event,place,bow,club,age,raw,raw_seconds,correction_seconds,adjusted,adjusted_seconds
Mixed Masters 8+,1,173,Corvallis,71,15:52.7,952.7,154.88,13:17.8,797.8
Mixed Masters 8+,2,172,Mt. Baker,56,15:20.4,920.4,67.28,14:13.1,853.1
Mixed Masters 8+,3,170,Oregon Association,49,15:25.3,925.3,38.72,14:46.6,886.6
Mixed Masters 8+,4,166,Pocock,39,14:59.8,899.8,11.52,14:48.3,888.3
Mixed Masters 8+,5,164,Lake Union B,36,14:55.6,895.6,6.48,14:49.1,889.1
Mixed Masters 8+,6,165,Renton,37,15:03.6,903.6,8.0,14:55.6,895.6
Mixed Masters 8+,7,167,Corvallis,43,15:28.6,928.6,20.48,15:08.2,908.2
Mixed Masters 8+,8,169,Kenmore Community,47,16:00.2,960.2,32.0,15:28.2,928.2
Mixed Masters 8+,9,171,Lake Union,52,16:22.7,982.7,50.0,15:32.7,932.7
Mixed Masters 8+,10,168,Pocock D,46,16:31.0,991.0,28.88,16:02.1,962.1
Mixed Masters 8+,11,163,Sammamish Association,54,17:34.5,1054.5,58.32,16:36.2,996.2
Mixed Masters Novice 8+,1,174,Vancouver,40,16:16.7,976.7,13.52,16:03.2,963.2
Mixed Masters Novice 8+,2,175,Mt. Baker,49,17:25.9,1045.9,38.72,16:47.2,1007.2
Mixed Masters 4x,1,181,Unaff.,52,14:29.9,869.9,50.0,13:39.9,819.9
Mixed Masters 4x,2,177,Lake Washington Composite,37,13:51.5,831.5,8.0,13:43.5,823.5
Mixed Masters 4x,4,185,Commencement Bay,63,16:21.3,981.3,103.68,14:37.6,877.6
Mixed Masters 4x,5,182,Vashon Island,53,16:05.5,965.5,54.08,15:11.4,911.4
Mixed Masters 4x,6,178,Olympia Area,41,16:10.7,970.7,15.68,15:55.0,955.0
Mixed Masters 4x,7,179,Station L,47,16:48.5,1008.5,32.0,16:16.5,976.5
Mixed Masters 4x,9,176,Lake Union,37,17:00.8,1020.8,8.0,16:52.8,1012.8
Mixed Masters 4x,10,183,Pocock S,54,18:43.0,1123.0,58.32,17:44.7,1064.7
Mixed Masters Novice 4x,1,186,Renton,34,21:06.9,1266.9,3.92,21:03.0,1263.0
